timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532065125167,398,3 /api/Ticket/create,401,Unauthorized,Thread Group 1-7,,false,,515,568,8,8,398,0,0
1532065124582,1299,3 /api/Ticket/create,401,Unauthorized,Thread Group 1-1,,false,,515,568,8,8,1299,0,1025
1532065124050,1867,3 /api/Ticket/create,200,OK,Thread Group 1-4,text,true,,582,1362,8,8,1867,0,1035
1532065124469,1489,3 /api/Ticket/create,200,OK,Thread Group 1-6,text,true,,582,1361,8,8,1489,0,1035
1532065124654,1330,41 /auth/login,200,OK,Thread Group 1-5,text,true,,1771,424,8,8,1330,0,1026
1532065124654,1357,3 /api/Ticket/create,200,OK,Thread Group 1-8,text,true,,582,1296,8,8,1356,0,1044
1532065125882,259,41 /auth/login,200,OK,Thread Group 1-1,text,true,,1932,426,8,8,259,0,0
1532065125918,274,41 /auth/login,200,OK,Thread Group 1-4,text,true,,2027,421,8,8,273,0,0
1532065125959,257,41 /auth/login,200,OK,Thread Group 1-6,text,true,,1771,424,8,8,257,0,0
1532065126011,258,41 /auth/login,400,Bad Request,Thread Group 1-8,text,false,,617,421,8,8,258,0,0
1532065124954,1409,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-2,text,true,,214118,1269,8,8,650,0,0
1532065125040,1442,3 /api/Ticket/create,200,OK,Thread Group 1-3,text,true,,582,1387,8,8,1442,0,1017
1532065125985,632,77 /api/Ticket/getbyorg/H1b9MM9zQ,200,OK,Thread Group 1-5,text,true,,55784,1123,8,8,387,0,0
1532065126269,873,77 /api/Ticket/getbyorg/0,401,Unauthorized,Thread Group 1-8,,false,,515,404,8,8,873,0,0
1532065126483,826,41 /auth/login,200,OK,Thread Group 1-3,text,true,,1887,421,8,8,826,0,0
1532065125566,1774,41 /auth/login,200,OK,Thread Group 1-7,text,true,,1887,421,8,8,1774,0,1023
1532065126617,749,3 /api/Ticket/create,200,OK,Thread Group 1-5,text,true,,582,1295,8,8,749,0,0
1532065126217,1305,77 /api/Ticket/getbyorg/H1b9MM9zQ,200,OK,Thread Group 1-6,text,true,,55784,1123,8,8,1051,0,0
1532065126142,1512,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-1,text,true,,216090,1215,8,8,754,0,0
1532065126364,1721,3 /api/Ticket/create,200,OK,Thread Group 1-2,text,true,,582,1442,8,8,1721,0,1029
1532065126192,2267,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-4,text,true,,216090,1269,8,8,1497,0,1041
1532065127142,1328,3 /api/Ticket/create,401,Unauthorized,Thread Group 1-8,,false,,515,568,8,8,1328,0,1072
1532065128086,404,41 /auth/login,200,OK,Thread Group 1-2,text,true,,2027,421,8,8,403,0,0
1532065127341,1546,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-7,text,true,,216768,1189,8,8,777,0,0
1532065128471,558,41 /auth/login,200,OK,Thread Group 1-8,text,true,,1771,424,8,8,558,0,0
1532065127366,1671,41 /auth/login,200,OK,Thread Group 1-5,text,true,,1932,426,8,8,1671,0,1027
1532065127522,1604,3 /api/Ticket/create,200,OK,Thread Group 1-6,text,true,,582,1296,8,8,1604,0,1031
1532065127655,1490,3 /api/Ticket/create,200,OK,Thread Group 1-1,text,true,,582,1387,8,8,1490,0,1032
1532065127310,2405,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-3,text,true,,216768,1189,7,7,1451,0,481
1532065129030,843,77 /api/Ticket/getbyorg/H1b9MM9zQ,200,OK,Thread Group 1-8,text,true,,57085,1123,7,7,596,0,0
1532065129128,860,41 /auth/login,400,Bad Request,Thread Group 1-6,text,false,,617,421,7,7,860,0,0
1532065128459,1754,3 /api/Ticket/create,200,OK,Thread Group 1-4,text,true,,582,1442,7,7,1754,0,1037
1532065129038,1431,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-5,text,true,,217438,1215,7,7,687,0,0
1532065130215,449,41 /auth/login,200,OK,Thread Group 1-4,text,true,,1887,421,7,7,449,0,0
1532065128888,1796,3 /api/Ticket/create,200,OK,Thread Group 1-7,text,true,,582,1362,7,7,1796,0,1028
1532065129717,977,3 /api/Ticket/create,200,OK,Thread Group 1-3,text,true,,582,1361,7,7,977,0,480
1532065129989,754,77 /api/Ticket/getbyorg/0,401,Unauthorized,Thread Group 1-6,,false,,515,404,6,6,754,0,482
1532065130685,256,41 /auth/login,200,OK,Thread Group 1-7,text,true,,1932,426,6,6,256,0,0
1532065130743,243,3 /api/Ticket/create,401,Unauthorized,Thread Group 1-6,,false,,515,567,6,6,243,0,0
1532065128490,2558,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-2,text,true,,218116,1269,6,6,1811,0,1036
1532065129874,1288,3 /api/Ticket/create,200,OK,Thread Group 1-8,text,true,,582,1296,6,6,1288,0,1028
1532065130986,257,41 /auth/login,200,OK,Thread Group 1-6,text,true,,2027,421,5,5,257,0,0
1532065130471,1734,3 /api/Ticket/create,200,OK,Thread Group 1-5,text,true,,582,1388,5,5,1733,0,1045
1532065131244,1327,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-6,text,true,,219418,1269,4,4,544,0,0
1532065131050,1708,3 /api/Ticket/create,200,OK,Thread Group 1-2,text,true,,582,1442,4,4,1708,0,1036
1532065130665,2589,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-4,text,true,,220088,1189,4,4,1795,0,1025
1532065132759,495,41 /auth/login,200,OK,Thread Group 1-2,text,true,,1771,424,4,4,495,0,0
1532065130942,2758,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-7,text,true,,220766,1215,4,4,2013,0,1040
1532065132572,1281,3 /api/Ticket/create,200,OK,Thread Group 1-6,text,true,,582,1442,4,4,1281,0,1019
1532065133254,765,3 /api/Ticket/create,200,OK,Thread Group 1-4,text,true,,582,1361,3,3,765,0,495
1532065134020,252,41 /auth/login,400,Bad Request,Thread Group 1-4,text,false,,617,421,3,3,252,0,0
1532065133701,757,3 /api/Ticket/create,200,OK,Thread Group 1-7,text,true,,582,1388,3,3,757,0,485
1532065134273,259,77 /api/Ticket/getbyorg/0,401,Unauthorized,Thread Group 1-4,,false,,515,404,2,2,259,0,0
1532065134533,248,3 /api/Ticket/create,401,Unauthorized,Thread Group 1-4,,false,,515,568,2,2,248,0,0
1532065133255,1881,77 /api/Ticket/getbyorg/H1b9MM9zQ,200,OK,Thread Group 1-2,text,true,,57737,1123,1,1,1398,0,1024
1532065135136,269,3 /api/Ticket/create,200,OK,Thread Group 1-2,text,true,,582,1295,1,1,269,0,0
